date,open,high,low,close,volume,y,x0,x1,r1,x2,r2,x3,r3,x4,r4,x5,r5,14-day RSI,MA-2,MA-3,MA-5,EMA-2,EMA-3,EMA-5,14-day MFI
11/9/2017,0.02516,0.03506,0.02501,0.03205,18716200,1,0.0321,0.0271,-0.0117,0.0274,0.1348,0.0240,-0.0736,0.0258,-0.0162,0.0262,-0.0082,46.17,0.0273,0.0262,0.0261,0.0260,0.0260,0.0262,52.86
11/10/2017,0.03222,0.03335,0.02645,0.02712,6766780,0,0.0271,0.0274,0.1348,0.0240,-0.0736,0.0258,-0.0162,0.0262,-0.0082,0.0264,-0.0420,41.76,0.0257,0.0257,0.0260,0.0254,0.0258,0.0263,45.05
11/11/2017,0.02689,0.02966,0.02568,0.02744,5532220,1,0.0274,0.0240,-0.0736,0.0258,-0.0162,0.0262,-0.0082,0.0264,-0.0420,0.0276,0.0678,20.13,0.0249,0.0253,0.0260,0.0256,0.0257,0.0259,37.69
11/12/2017,0.02748,0.02795,0.02259,0.02398,7280250,0,0.0240,0.0258,-0.0162,0.0262,-0.0082,0.0264,-0.0420,0.0276,0.0678,0.0258,-0.0229,12.57,0.0260,0.0262,0.0264,0.0262,0.0266,0.0263,26.93
11/13/2017,0.02436,0.02630,0.02350,0.02581,4419440,0,0.0258,0.0262,-0.0082,0.0264,-0.0420,0.0276,0.0678,0.0258,-0.0229,0.0264,-0.0630,4.09,0.0263,0.0268,0.0265,0.0269,0.0265,0.0267,12.52
11/14/2017,0.02580,0.02679,0.02534,0.02623,3033290,0,0.0262,0.0264,-0.0420,0.0276,0.0678,0.0258,-0.0229,0.0264,-0.0630,0.0281,-0.0519,25.97,0.0270,0.0266,0.0269,0.0266,0.0265,0.0273,2.77
11/15/2017,0.02612,0.02777,0.02526,0.02645,6858800,0,0.0264,0.0276,0.0678,0.0258,-0.0229,0.0264,-0.0630,0.0281,-0.0519,0.0296,0.0432,21.28,0.0267,0.0266,0.0275,0.0264,0.0269,0.0276,1.61
11/16/2017,0.02658,0.02817,0.02565,0.02758,4888130,1,0.0276,0.0258,-0.0229,0.0264,-0.0630,0.0281,-0.0519,0.0296,0.0432,0.0283,-0.0077,19.01,0.0261,0.0267,0.0276,0.0269,0.0276,0.0277,1.07
11/17/2017,0.02714,0.02744,0.02518,0.02577,3578870,0,0.0258,0.0264,-0.0630,0.0281,-0.0519,0.0296,0.0432,0.0283,-0.0077,0.0285,0.0395,18.97,0.0272,0.0280,0.0282,0.0283,0.0282,0.0280,0.82
11/18/2017,0.02560,0.02712,0.02475,0.02637,2930550,0,0.0264,0.0281,-0.0519,0.0296,0.0432,0.0283,-0.0077,0.0285,0.0395,0.0274,-0.0336,19.42,0.0288,0.0287,0.0284,0.0288,0.0287,0.0284,9.80
11/19/2017,0.02624,0.02848,0.02558,0.02808,4725050,0,0.0281,0.0296,0.0432,0.0283,-0.0077,0.0285,0.0395,0.0274,-0.0336,0.0284,-0.0702,19.13,0.0290,0.0288,0.0285,0.0287,0.0284,0.0288,9.15
11/20/2017,0.02815,0.03230,0.02761,0.02958,16172400,1,0.0296,0.0283,-0.0077,0.0285,0.0395,0.0274,-0.0336,0.0284,-0.0702,0.0304,-0.1767,22.34,0.0284,0.0281,0.0286,0.0281,0.0282,0.0299,18.20
11/21/2017,0.02959,0.02971,0.02740,0.02833,5836790,0,0.0283,0.0285,0.0395,0.0274,-0.0336,0.0284,-0.0702,0.0304,-0.1767,0.0363,-0.3311,26.34,0.0280,0.0281,0.0302,0.0280,0.0287,0.0334,23.30
11/22/2017,0.02840,0.02903,0.02789,0.02855,4938480,1,0.0285,0.0274,-0.0336,0.0284,-0.0702,0.0304,-0.1767,0.0363,-0.3311,0.0506,-0.8615,30.48,0.0279,0.0288,0.0346,0.0290,0.0309,0.0480,29.34
11/23/2017,0.02854,0.02868,0.02744,0.02744,5132300,0,0.0274,0.0284,-0.0702,0.0304,-0.1767,0.0363,-0.3311,0.0506,-0.8615,0.1197,0.2887,29.16,0.0294,0.0317,0.0531,0.0324,0.0370,0.0580,27.48
11/24/2017,0.02741,0.02860,0.02696,0.02838,5502350,0,0.0284,0.0304,-0.1767,0.0363,-0.3311,0.0506,-0.8615,0.1197,0.2887,0.0897,-0.2898,28.88,0.0334,0.0391,0.0654,0.0409,0.0612,0.0727,25.86
11/25/2017,0.02832,0.03045,0.02775,0.03045,6156460,0,0.0304,0.0363,-0.3311,0.0506,-0.8615,0.1197,0.2887,0.0897,-0.2898,0.1199,-0.0914,32.76,0.0435,0.0689,0.0833,0.0754,0.0766,0.0891,30.11
11/26/2017,0.03044,0.03986,0.03012,0.03633,30527100,0,0.0363,0.0506,-0.8615,0.1197,0.2887,0.0897,-0.2898,0.1199,-0.0914,0.1314,-0.0076,33.25,0.0852,0.0867,0.1023,0.0939,0.0979,0.1050,29.26
11/27/2017,0.03662,0.05713,0.03662,0.05059,77777296,0,0.0506,0.1197,0.2887,0.0897,-0.2898,0.1199,-0.0914,0.1314,-0.0076,0.1324,0.0041,45.43,0.1047,0.1098,0.1186,0.1078,0.1149,0.1208,29.07
11/28/2017,0.05063,0.13173,0.04795,0.11974,240338000,1,0.1197,0.0897,-0.2898,0.1199,-0.0914,0.1314,-0.0076,0.1324,0.0041,0.1318,-0.0304,32.18,0.1048,0.1137,0.1210,0.1184,0.1202,0.1221,32.81
11/29/2017,0.11824,0.14691,0.08144,0.08972,210624992,0,0.0897,0.1199,-0.0914,0.1314,-0.0076,0.1324,0.0041,0.1318,-0.0304,0.1359,0.0637,19.99,0.1256,0.1279,0.1303,0.1295,0.1294,0.1294,36.93
11/30/2017,0.09493,0.12830,0.09493,0.11988,124345000,0,0.1199,0.1314,-0.0076,0.1324,0.0041,0.1318,-0.0304,0.1359,0.0637,0.1275,0.0787,31.09,0.1319,0.1318,0.1318,0.1319,0.1329,0.1295,25.73
12/1/2017,0.11662,0.13135,0.11303,0.13135,73657600,0,0.1314,0.1324,0.0041,0.1318,-0.0304,0.1359,0.0637,0.1275,0.0787,0.1178,0.1106,16.58,0.1321,0.1333,0.1291,0.1335,0.1318,0.1254,21.19
12/2/2017,0.13163,0.13887,0.12913,0.13235,56712600,1,0.1324,0.1318,-0.0304,0.1359,0.0637,0.1275,0.0787,0.1178,0.1106,0.1055,-0.0902,13.00,0.1338,0.1317,0.1237,0.1317,0.1280,0.1227,8.65
12/3/2017,0.13235,0.13922,0.12495,0.13181,46458900,0,0.1318,0.1359,0.0637,0.1275,0.0787,0.1178,0.1106,0.1055,-0.0902,0.1155,-0.0353,12.97,0.1317,0.1271,0.1204,0.1253,0.1207,0.1209,4.87
12/4/2017,0.13155,0.14595,0.12635,0.13587,76392704,1,0.1359,0.1275,0.0787,0.1178,0.1106,0.1055,-0.0902,0.1155,-0.0353,0.1196,0.0812,11.25,0.1227,0.1169,0.1172,0.1148,0.1158,0.1165,2.90
12/5/2017,0.13563,0.13640,0.12678,0.12749,50381100,1,0.1275,0.1178,0.1106,0.1055,-0.0902,0.1155,-0.0353,0.1196,0.0812,0.1103,-0.0959,16.91,0.1117,0.1129,0.1137,0.1120,0.1144,0.1151,17.53
12/6/2017,0.12675,0.13286,0.11389,0.11784,75688800,1,0.1178,0.1055,-0.0902,0.1155,-0.0353,0.1196,0.0812,0.1103,-0.0959,0.1214,-0.0981,16.30,0.1105,0.1135,0.1144,0.1151,0.1132,0.1172,23.87
12/7/2017,0.11777,0.12418,0.10550,0.10550,71024600,0,0.1055,0.1155,-0.0353,0.1196,0.0812,0.1103,-0.0959,0.1214,-0.0981,0.1339,-0.0029,26.21,0.1175,0.1151,0.1201,0.1150,0.1168,0.1222,29.47
12/8/2017,0.10614,0.12073,0.09914,0.11547,70092400,0,0.1155,0.1196,0.0812,0.1103,-0.0959,0.1214,-0.0981,0.1339,-0.0029,0.1343,-0.5838,26.10,0.1149,0.1171,0.1239,0.1166,0.1214,0.1424,28.16
12/9/2017,0.11475,0.13866,0.11356,0.11961,63308600,1,0.1196,0.1103,-0.0959,0.1214,-0.0981,0.1339,-0.0029,0.1343,-0.5838,0.2408,0.1203,27.82,0.1158,0.1219,0.1481,0.1242,0.1259,0.1571,29.93
12/10/2017,0.11979,0.11979,0.10013,0.11028,46376600,0,0.1103,0.1214,-0.0981,0.1339,-0.0029,0.1343,-0.5838,0.2408,0.1203,0.2135,-0.6396,27.16,0.1276,0.1299,0.1688,0.1315,0.1600,0.2046,29.42
12/11/2017,0.10893,0.12138,0.10864,0.12138,39513900,0,0.1214,0.1339,-0.0029,0.1343,-0.5838,0.2408,0.1203,0.2135,-0.6396,0.4047,-0.2372,27.18,0.1341,0.1696,0.2254,0.1768,0.1837,0.2678,28.37
12/12/2017,0.12118,0.13801,0.11422,0.13389,60056800,0,0.1339,0.1343,-0.5838,0.2408,0.1203,0.2135,-0.6396,0.4047,-0.2372,0.5130,-0.0101,28.77,0.1875,0.1962,0.3012,0.2085,0.2559,0.3293,30.76
12/13/2017,0.13374,0.14185,0.12237,0.13428,61575000,0,0.1343,0.2408,0.1203,0.2135,-0.6396,0.4047,-0.2372,0.5130,-0.0101,0.5182,-0.0249,35.08,0.2271,0.2863,0.3780,0.2954,0.3498,0.3970,32.74
12/14/2017,0.13367,0.24075,0.13184,0.24075,309307008,1,0.2408,0.2135,-0.6396,0.4047,-0.2372,0.5130,-0.0101,0.5182,-0.0249,0.5313,0.0888,25.84,0.3091,0.3770,0.4361,0.4098,0.4256,0.4352,33.52
12/15/2017,0.23321,0.23321,0.18703,0.21347,207311008,0,0.2135,0.4047,-0.2372,0.5130,-0.0101,0.5182,-0.0249,0.5313,0.0888,0.4862,0.0172,29.51,0.4588,0.4786,0.4907,0.4934,0.4976,0.4852,31.36
12/16/2017,0.21288,0.44719,0.20423,0.40467,581052032,0,0.4047,0.5130,-0.0101,0.5182,-0.0249,0.5313,0.0888,0.4862,0.0172,0.4779,0.1601,31.02,0.5156,0.5208,0.5053,0.5224,0.5121,0.4899,27.35
12/17/2017,0.38678,0.59242,0.37801,0.51301,628142976,0,0.5130,0.5182,-0.0249,0.5313,0.0888,0.4862,0.0172,0.4779,0.1601,0.4072,-0.0167,30.81,0.5247,0.5119,0.4841,0.5106,0.5024,0.4743,29.10
12/18/2017,0.51194,0.52650,0.46740,0.51820,253463008,0,0.5182,0.5313,0.0888,0.4862,0.0172,0.4779,0.1601,0.4072,-0.0167,0.4140,0.0597,28.67,0.5087,0.4984,0.4633,0.4919,0.4719,0.4543,29.52
12/19/2017,0.52027,0.58959,0.50108,0.53127,279631008,1,0.5313,0.4862,0.0172,0.4779,0.1601,0.4072,-0.0167,0.4140,0.0597,0.3900,-0.0653,14.72,0.4820,0.4571,0.4350,0.4512,0.4436,0.4341,18.30
12/20/2017,0.53371,0.53371,0.44162,0.48615,182924000,1,0.4862,0.4779,0.1601,0.4072,-0.0167,0.4140,0.0597,0.3900,-0.0653,0.4164,-0.0287,13.31,0.4425,0.4330,0.4211,0.4240,0.4186,0.4245,9.14
12/21/2017,0.49005,0.52362,0.45653,0.47785,162926000,1,0.4779,0.4072,-0.0167,0.4140,0.0597,0.3900,-0.0653,0.4164,-0.0287,0.4285,0.0339,17.49,0.4106,0.4037,0.4112,0.4031,0.4069,0.4115,29.69
12/22/2017,0.47897,0.47897,0.29364,0.40715,150972992,0,0.4072,0.4140,0.0597,0.3900,-0.0653,0.4164,-0.0287,0.4285,0.0339,0.4142,0.0158,17.10,0.4020,0.4068,0.4126,0.4054,0.4121,0.4119,42.11
12/23/2017,0.41442,0.45037,0.39257,0.41403,88865000,1,0.4140,0.3900,-0.0653,0.4164,-0.0287,0.4285,0.0339,0.4142,0.0158,0.4077,-0.2610,16.62,0.4032,0.4116,0.4113,0.4159,0.4137,0.4294,37.81
12/24/2017,0.41666,0.41666,0.34704,0.39003,67372304,0,0.3900,0.4164,-0.0287,0.4285,0.0339,0.4142,0.0158,0.4077,-0.2610,0.5293,-0.1887,26.10,0.4224,0.4197,0.4392,0.4203,0.4167,0.4703,42.01
12/25/2017,0.39233,0.43970,0.36281,0.41636,122194000,0,0.4164,0.4285,0.0339,0.4142,0.0158,0.4077,-0.2610,0.5293,-0.1887,0.6392,-0.1185,32.15,0.4213,0.4168,0.4838,0.4144,0.4460,0.5193,46.12
