date,open,high,low,close,volume,y,x0,x1,r1,x2,r2,x3,r3,x4,r4,x5,r5,14-day RSI,MA-2,MA-3,MA-5,EMA-2,EMA-3,EMA-5,14-day MFI
11/9/2017,2.05314,2.17423,1.89394,1.99077,19192200,1,1.99077,1.79684,0.072924543,1.67047,0.094598657,1.51969,-0.10422016,1.68662,0.057371184,1.59258,0.039793533,53.11380968,1.733655,1.662333333,1.65324,1.635432,1.659842667,1.6393376,59.02370284
11/10/2017,2.00773,2.06947,1.64478,1.79684,11155000,1,1.79684,1.67047,0.094598657,1.51969,-0.10422016,1.68662,0.057371184,1.59258,0.039793533,1.53045,-0.030545714,42.17944972,1.59508,1.625593333,1.599962,1.616618,1.613798,1.5992556,52.13739166
11/11/2017,1.78628,1.91775,1.61429,1.67047,8178150,1,1.67047,1.51969,-0.10422016,1.68662,0.057371184,1.59258,0.039793533,1.53045,-0.030545714,1.57792,0.043759491,35.75505391,1.603155,1.59963,1.581452,1.615618,1.586511333,1.5676068,45.93614961
11/12/2017,1.66889,1.6728,1.46256,1.51969,15298700,0,1.51969,1.68662,0.057371184,1.59258,0.039793533,1.53045,-0.030545714,1.57792,0.043759491,1.51036,-0.103065052,38.27586207,1.6396,1.603216667,1.579586,1.586536,1.590910667,1.5990264,46.97015881
11/13/2017,1.52601,1.73502,1.5176,1.68662,12238800,1,1.68662,1.59258,0.039793533,1.53045,-0.030545714,1.57792,0.043759491,1.51036,-0.103065052,1.67433,0.036840029,34.17127584,1.561515,1.566983333,1.577128,1.561864,1.550177333,1.5836088,37.42378814
11/14/2017,1.68928,1.73537,1.56827,1.59258,7829600,1,1.59258,1.53045,-0.030545714,1.57792,0.043759491,1.51036,-0.103065052,1.67433,0.036840029,1.61377,-0.00659624,40.20539085,1.554185,1.539576667,1.581366,1.541402,1.576119333,1.5862228,46.75377459
11/15/2017,1.58777,1.62498,1.4955,1.53045,7615500,0,1.53045,1.57792,0.043759491,1.51036,-0.103065052,1.67433,0.036840029,1.61377,-0.00659624,1.62445,0.031511028,34.20526931,1.54414,1.587536667,1.600166,1.58946,1.595173333,1.5950992,39.65970973
11/16/2017,1.55619,1.68222,1.53689,1.57792,8928640,1,1.57792,1.51036,-0.103065052,1.67433,0.036840029,1.61377,-0.00659624,1.62445,0.031511028,1.57406,-0.023662276,28.98780259,1.592345,1.599486667,1.599394,1.617312,1.612085333,1.5978096,33.04173741
11/17/2017,1.58005,1.58266,1.4953,1.51036,8508840,0,1.51036,1.67433,0.036840029,1.61377,-0.00659624,1.62445,0.031511028,1.57406,-0.023662276,1.61175,0.039904676,32.66678509,1.64405,1.637516667,1.619672,1.630154,1.618140667,1.6105028,30.24168299
11/18/2017,1.51136,1.67678,1.49823,1.67433,32167300,1,1.67433,1.61377,-0.00659624,1.62445,0.031511028,1.57406,-0.023662276,1.61175,0.039904676,1.5487,-0.103576139,25.74679381,1.61911,1.604093333,1.594546,1.602158,1.60549,1.6150212,30.33875639
11/19/2017,1.67336,1.70123,1.5678,1.61377,38081700,0,1.61377,1.62445,0.031511028,1.57406,-0.023662276,1.61175,0.039904676,1.5487,-0.103576139,1.71771,-0.087013803,21.44432956,1.599255,1.60342,1.615334,1.599214,1.587426,1.6570644,18.33085589
11/20/2017,1.62559,1.66065,1.55561,1.62445,12994500,1,1.62445,1.57406,-0.023662276,1.61175,0.039904676,1.5487,-0.103576139,1.71771,-0.087013803,1.87387,0.01112971,17.51202504,1.592905,1.57817,1.665218,1.578992,1.615654667,1.6916376,12.74170818
11/21/2017,1.65817,1.65967,1.54984,1.57406,5440790,0,1.57406,1.61175,0.039904676,1.5487,-0.103576139,1.71771,-0.087013803,1.87387,0.01112971,1.85313,-0.047346776,18.34734439,1.580225,1.626053333,1.721032,1.628914,1.693091333,1.7521724,27.69849648
11/22/2017,1.59049,1.62137,1.55823,1.61175,7177000,1,1.61175,1.5487,-0.103576139,1.71771,-0.087013803,1.87387,0.01112971,1.85313,-0.047346776,1.94298,0.013404033,13.154981,1.633205,1.713426667,1.787278,1.746372,1.761662667,1.798508,23.23859796
11/23/2017,1.6106,1.61668,1.53759,1.5487,8392640,0,1.5487,1.71771,-0.087013803,1.87387,0.01112971,1.85313,-0.047346776,1.94298,0.013404033,1.91711,0.090329152,14.15726284,1.79579,1.814903333,1.86096,1.834342,1.855536667,1.8377212,30.04024299
11/24/2017,1.56953,1.82018,1.55558,1.71771,12155400,0,1.71771,1.87387,0.01112971,1.85313,-0.047346776,1.94298,0.013404033,1.91711,0.090329152,1.75153,-0.13114134,27.21941805,1.8635,1.889993333,1.867724,1.893218,1.898299333,1.8886492,37.8489224
11/25/2017,1.71697,1.95764,1.69397,1.87387,12839900,1,1.87387,1.85313,-0.047346776,1.94298,0.013404033,1.91711,0.090329152,1.75153,-0.13114134,1.99697,-0.03602868,31.71054464,1.898055,1.904406667,1.892344,1.914662,1.867058,1.9192372,42.91736292
11/26/2017,1.89474,1.93531,1.82674,1.85313,9056850,0,1.85313,1.94298,0.013404033,1.91711,0.090329152,1.75153,-0.13114134,1.99697,-0.03602868,2.07023,-0.006706184,29.43131562,1.930045,1.87054,1.935764,1.856052,1.899425333,1.959796,41.70087669
