date,open,high,low,close,volume,y,x0,x1,r1,x2,r2,x3,r3,x4,r4,x5,r5,14-day RSI,MA-2,MA-3,MA-5,EMA-2,EMA-3,EMA-5,14-day MFI
17-Sep,465.864014,468.174011,452.421997,457.334015,21056800,1,457.334015,424.440002,0.072401507,394.79599,-0.03511124,408.903992,0.02496766,398.821014,-0.008317417,402.152008,-0.08033259,64.14735062,409.617996,409.3799947,405.8226012,406.3679932,405.560266,411.3622386,52.27211551
18-Sep,456.859985,456.859985,413.104004,424.440002,34483200,1,424.440002,394.79599,-0.03511124,408.903992,0.02496766,398.821014,-0.008317417,402.152008,-0.08033259,435.790985,0.029306072,60.9991689,401.849991,400.840332,408.0927978,402.0492004,401.5930684,409.9788758,50.30977351
19-Sep,424.102997,427.834991,384.532013,394.79599,37919700,0,394.79599,408.903992,0.02496766,398.821014,-0.008317417,402.152008,-0.08033259,435.790985,0.029306072,423.204987,0.027867819,72.61830323,403.862503,403.292338,413.7745972,402.1700072,411.5845336,413.2276782,58.72844619
20-Sep,394.673004,423.29599,389.882996,408.903992,36863600,1,408.903992,398.821014,-0.008317417,402.152008,-0.08033259,435.790985,0.029306072,423.204987,0.027867819,411.574005,0.01752257,72.34840246,400.486511,412.254669,414.3085998,414.9414,416.0703308,412.1077185,58.99657757
21-Sep,408.084991,412.425995,393.181,398.821014,26580100,0,398.821014,402.152008,-0.08033259,435.790985,0.029306072,423.204987,0.027867819,411.574005,0.01752257,404.424988,0.012202477,69.86106519,418.9714965,420.38266,415.4293946,424.0287904,419.2490621,412.3527942,53.67165155
22-Sep,399.100006,406.915985,397.130005,402.152008,24127600,0,402.152008,435.790985,0.029306072,423.204987,0.027867819,411.574005,0.01752257,404.424988,0.012202477,399.519989,0.057538621,82.35745128,429.497986,423.5233257,414.9029908,421.0697938,417.6125917,409.702992,49.15174414
23-Sep,402.09201,441.557007,396.196991,435.790985,45099500,1,435.790985,423.204987,0.027867819,411.574005,0.01752257,404.424988,0.012202477,399.519989,0.057538621,377.181,0.004554567,72.2246496,417.389496,413.0679933,403.1809938,411.0405946,408.7793926,399.5477161,49.88788163
24-Sep,435.751007,436.112,421.131989,423.204987,30627700,1,423.204987,411.574005,0.01752257,404.424988,0.012202477,399.519989,0.057538621,377.181,0.004554567,375.46701,-0.030109369,64.6807669,407.9994965,405.172994,393.6333984,403.8927918,397.2817282,393.2807189,41.63988714
25-Sep,423.156006,423.519989,409.467987,411.574005,26814400,1,411.574005,404.424988,0.012202477,399.519989,0.057538621,377.181,0.004554567,375.46701,-0.030109369,386.944,0.00864056,63.84025507,401.9724885,393.708659,388.7073974,391.5653932,388.1297973,388.5213158,46.9599101
26-Sep,411.428986,414.937988,400.009003,404.424988,21460800,1,404.424988,399.519989,0.057538621,377.181,0.004554567,375.46701,-0.030109369,386.944,0.00864056,383.61499,0.022521436,62.35092457,388.3504945,384.0559997,384.5453978,380.9632018,383.7952005,383.6286364,48.679325
27-Sep,403.556,406.622986,397.372009,399.519989,15029300,1,399.519989,377.181,0.004554567,375.46701,-0.030109369,386.944,0.00864056,383.61499,0.022521436,375.071991,0.042370447,49.52694081,376.324005,379.8640033,379.6557982,380.400604,381.0431333,376.3337974,46.19245142
28-Sep,399.471008,401.016998,374.332001,377.181,23613300,1,377.181,375.46701,-0.030109369,386.944,0.00864056,383.61499,0.022521436,375.071991,0.042370447,359.511993,0.089097173,45.17038059,381.205505,382.0086667,376.1219968,383.316998,380.5949969,368.5348374,42.54510496
29-Sep,376.928009,385.210999,372.23999,375.46701,32497700,0,375.46701,386.944,0.00864056,383.61499,0.022521436,375.071991,0.042370447,359.511993,0.089097173,328.865997,0.025736856,45.47039485,385.279495,381.8769937,366.8017942,380.8635924,375.5751931,360.200797,42.28988962
30-Sep,376.088013,390.97699,373.442993,386.944,34707300,1,386.944,383.61499,0.022521436,375.071991,0.042370447,359.511993,0.089097173,328.865997,0.025736856,320.51001,-0.029418542,46.43490794,379.3434905,372.7329913,353.5149962,370.5565916,360.3096596,350.9692382,48.90775108
1-Oct,387.427002,391.378998,380.779999,383.61499,26229400,1,383.61499,375.071991,0.042370447,359.511993,0.089097173,328.865997,0.025736856,320.51001,-0.029418542,330.07901,-0.018335538,47.66364106,367.291992,354.483327,342.8078002,350.3655942,344.0511982,343.0390417,48.88027951
2-Oct,383.988007,385.497009,372.946014,375.071991,21777700,1,375.071991,359.511993,0.089097173,328.865997,0.025736856,320.51001,-0.029418542,330.07901,-0.018335538,336.187012,-0.048630488,41.68552272,344.188995,336.296,335.0308044,331.6528014,333.0904031,338.8755236,49.3774242
3-Oct,375.181,377.695007,357.859009,359.511993,30901200,1,359.511993,328.865997,0.025736856,320.51001,-0.029418542,330.07901,-0.018335538,336.187012,-0.048630488,352.940002,-0.03367051,24.53028876,324.6880035,326.4850057,333.7164062,326.0088074,328.9134746,338.531925,45.54352288
4-Oct,359.891998,364.487,325.885986,328.865997,47236500,1,328.865997,320.51001,-0.029418542,330.07901,-0.018335538,336.187012,-0.048630488,352.940002,-0.03367051,365.026001,0.009535019,20.34127733,325.29451,328.925344,340.948407,330.6084108,335.8902751,343.4290479,40.27323723
5-Oct,328.915985,341.800995,289.29599,320.51001,83308096,0,320.51001,330.07901,-0.018335538,336.187012,-0.048630488,352.940002,-0.03367051,365.026001,0.009535019,361.562012,-0.0020363,26.75833186,333.133011,339.7353413,349.1588074,341.6666076,347.1232727,350.4980481,46.94968618
6-Oct,320.389008,345.134003,302.559998,330.07901,79011800,0,330.07901,336.187012,-0.048630488,352.940002,-0.03367051,365.026001,0.009535019,361.562012,-0.0020363,362.299011,-0.043875684,27.35548875,344.563507,351.3843383,355.6028076,354.4238036,355.1115397,358.4975683,52.63663624
7-Oct,330.584015,339.247009,320.481995,336.187012,49199900,0,336.187012,352.940002,-0.03367051,365.026001,0.009535019,361.562012,-0.0020363,362.299011,-0.043875684,378.549011,-0.030862165,34.51978392,358.9830015,359.8426717,364.0752074,361.2232056,360.9578735,367.8440062,60.11339123
8-Oct,336.115997,354.364014,327.187988,352.940002,54736300,0,352.940002,365.026001,0.009535019,361.562012,-0.0020363,362.299011,-0.043875684,378.549011,-0.030862165,390.414001,-0.026429456,52.99709387,363.2940065,362.9623413,371.5700072,362.5496094,366.9812093,375.996245,69.81651828
9-Oct,352.747986,382.726013,347.687012,365.026001,83641104,1,365.026001,361.562012,-0.0020363,362.299011,-0.043875684,378.549011,-0.030862165,390.414001,-0.026429456,400.869995,0.015326231,51.5051758,361.9305115,367.4700113,378.738806,368.6516112,373.9822752,380.6172069,64.32257353
10-Oct,364.687012,375.066986,352.963013,361.562012,43665700,0,361.562012,362.299011,-0.043875684,378.549011,-0.030862165,390.414001,-0.026429456,400.869995,0.015326231,394.77301,0.031435894,56.41116171,370.424011,377.087341,385.3810056,380.045007,384.4152707,384.0057249,60.80750714
11-Oct,361.362,367.19101,355.950989,362.299011,13345200,0,362.299011,378.549011,-0.030862165,390.414001,-0.026429456,400.869995,0.015326231,394.77301,0.031435894,382.556,-0.003137087,61.00014099,384.481506,389.9443357,389.4324034,392.2234006,391.9916705,388.0891625,59.93565013
12-Oct,362.605988,379.433014,356.144012,378.549011,17552800,0,378.549011,390.414001,-0.026429456,400.869995,0.015326231,394.77301,0.031435894,382.556,-0.003137087,383.757996,-0.019825185,69.04870602,395.641998,395.3523353,390.4742004,396.3400022,392.2692015,390.6266381,61.41295672
13-Oct,377.92099,397.226013,368.897003,390.414001,35221400,0,390.414001,400.869995,0.015326231,394.77301,0.031435894,382.556,-0.003137087,383.757996,-0.019825185,391.441986,0.004855388,73.40273008,397.8215025,392.7330017,390.6797974,391.105603,389.7972006,390.9059961,67.2567107
14-Oct,391.691986,411.697998,391.324005,400.869995,38491500,1,400.869995,394.77301,0.031435894,382.556,-0.003137087,383.757996,-0.019825185,391.441986,0.004855388,389.54599,0.017351723,77.3135931,388.664505,387.029002,388.4149964,385.4802004,387.6895305,387.7781177,62.18104505
15-Oct,400.954987,402.22699,388.765991,394.77301,25267100,1,394.77301,382.556,-0.003137087,383.757996,-0.019825185,391.441986,0.004855388,389.54599,0.017351723,382.845001,-0.009436988,67.5986253,383.156998,385.9186607,386.0293946,386.5911928,387.1101259,385.9617566,52.34527301
16-Oct,394.518005,398.807007,373.070007,382.556,26990000,0,382.556,383.757996,-0.019825185,391.441986,0.004855388,389.54599,0.017351723,382.845001,-0.009436988,386.475006,0.008619788,70.35397501,387.599991,388.2486573,386.8131958,389.1467896,387.1070597,386.1061549,52.33792922
17-Oct,382.756012,385.477997,375.389008,383.757996,13600700,0,383.757996,391.441986,0.004855388,389.54599,0.017351723,382.845001,-0.009436988,386.475006,0.008619788,383.15799,0.06675032,78.19320638,390.493988,387.9443257,386.6931946,387.2447936,387.3193297,382.3589538,58.52090671
18-Oct,383.976013,395.15799,378.971008,391.441986,11416800,1,391.441986,389.54599,0.017351723,382.845001,-0.009436988,386.475006,0.008619788,383.15799,0.06675032,358.416992,0.000200878,77.73545744,386.1954955,386.2886657,380.0881958,385.6372008,385.2366639,376.9875964,64.76983536
19-Oct,391.253998,393.938995,386.457001,389.54599,5914570,1,389.54599,382.845001,-0.009436988,386.475006,0.008619788,383.15799,0.06675032,358.416992,0.000200878,358.345001,0.031390769,75.19802049,384.6600035,384.1593323,373.847998,384.4221986,377.3823303,369.9555578,61.42467449
20-Oct,389.230988,390.084015,378.252014,382.845001,16419000,0,382.845001,386.475006,0.008619788,383.15799,0.06675032,358.416992,0.000200878,358.345001,0.031390769,347.270996,-0.021178224,75.6753234,384.816498,376.0166627,366.733197,373.924994,370.6069967,365.5981994,63.06446125
21-Oct,382.42099,392.645996,380.834015,386.475006,14188900,1,386.475006,383.15799,0.06675032,358.416992,0.000200878,358.345001,0.031390769,347.270996,-0.021178224,354.70401,0.004846732,69.03782052,370.787491,366.6399943,360.3789978,363.3363952,360.3737284,360.1077601,56.13097151
22-Oct,386.118011,388.575989,382.248993,383.15799,11641300,1,383.15799,358.416992,0.000200878,358.345001,0.031390769,347.270996,-0.021178224,354.70401,0.004846732,352.989014,-0.013028474,54.57442359,358.3809965,354.677663,354.3452026,353.9297972,354.4354003,355.0317235,48.82321245
23-Oct,382.962006,385.048004,356.446991,358.416992,26456900,1,358.416992,358.345001,0.031390769,347.270996,-0.021178224,354.70401,0.004846732,352.989014,-0.013028474,357.618011,0.063572243,57.47437602,352.8079985,353.4400023,354.1854064,352.4590026,352.9927389,351.3766856,46.65731926
24-Oct,358.591003,364.345001,353.304993,358.345001,15585700,1,358.345001,347.270996,-0.021178224,354.70401,0.004846732,352.989014,-0.013028474,357.618011,0.063572243,335.591003,-0.028534899,50.90449188,350.987503,351.6546733,349.6346068,352.5314088,353.5371419,348.8473242,46.81910025
25-Oct,358.610992,359.860992,342.877014,347.270996,18127500,0,347.270996,354.70401,0.004846732,352.989014,-0.013028474,357.618011,0.063572243,335.591003,-0.028534899,345.304993,0.020432874,46.07000646,353.846512,355.1036783,349.2414062,355.183612,349.9269428,347.7126476,49.03194334
26-Oct,347.487,359.221008,343.931,354.70401,11272500,1,354.70401,352.989014,-0.013028474,357.618011,0.063572243,335.591003,-0.028534899,345.304993,0.020432874,338.321014,0.037868066,43.71453782,355.3035125,348.732676,345.964807,347.8814084,347.5348713,343.011245,46.04504075
27-Oct,354.777008,358.631989,349.80899,352.989014,13033000,0,352.989014,357.618011,0.063572243,335.591003,-0.028534899,345.304993,0.020432874,338.321014,0.037868066,325.748993,-0.000438907,45.29081582,346.604507,346.1713357,340.5168028,343.8820006,343.3148049,338.8608824,42.42058486
28-Oct,353.214996,359.984009,352.678986,357.618011,7845880,1,357.618011,335.591003,-0.028534899,345.304993,0.020432874,338.321014,0.037868066,325.748993,-0.000438907,325.891998,-0.005086852,18.76775138,340.447998,339.7390033,334.1716002,340.5686034,336.2848673,333.169558,37.6853095
29-Oct,357.088989,357.833008,335.342987,335.591003,18192700,0,335.591003,345.304993,0.020432874,338.321014,0.037868066,325.748993,-0.000438907,325.891998,-0.005086852,327.553986,-0.008929581,21.8427201,341.8130035,336.4583333,332.5641968,334.6890014,333.0508666,332.7422778,32.94592379
30-Oct,335.709015,350.912994,335.071991,345.304993,30177900,1,345.304993,338.321014,0.037868066,325.748993,-0.000438907,325.891998,-0.005086852,327.553986,-0.008929581,330.492004,-0.02685022,30.15140377,332.0350035,329.987335,329.601599,328.3205992,328.7828633,331.5318785,41.67484402
31-Oct,345.009003,348.045013,337.141998,338.321014,12545400,1,338.321014,325.748993,-0.000438907,325.891998,-0.005086852,327.553986,-0.008929581,330.492004,-0.02685022,339.485992,-0.028469863,34.15497945,325.8204955,326.3983257,329.8345946,326.5281922,327.5332621,332.7840368,45.32805616
1-Nov,338.649994,340.528992,321.054993,325.748993,16677200,0,325.748993,325.891998,-0.005086852,327.553986,-0.008929581,330.492004,-0.02685022,339.485992,-0.028469863,349.290009,0.01987907,31.83134782,326.722992,327.9793293,334.5427978,328.3967956,331.1869281,335.4563196,40.60291654
2-Nov,326.075012,329.049988,320.626007,325.891998,8603620,0,325.891998,327.553986,-0.008929581,330.492004,-0.02685022,339.485992,-0.028469863,349.290009,0.01987907,342.415009,-0.008934453,32.33436528,329.022995,332.5106607,337.8474,333.5019956,337.3155985,338.6581606,40.01685831
3-Nov,325.569,334.002014,325.480988,327.553986,12948500,0,327.553986,330.492004,-0.02685022,339.485992,-0.028469863,349.290009,0.01987907,342.415009,-0.008934453,345.488007,-0.050171934,37.48992738,334.988998,339.7560017,341.4342042,341.6088012,341.0826701,344.4892848,48.48953896
4-Nov,327.161011,331.766998,325.076996,330.492004,15655500,0,330.492004,339.485992,-0.028469863,349.290009,0.01987907,342.415009,-0.008934453,345.488007,-0.050171934,363.264008,-0.010024907,38.26888228,344.3880005,343.7303367,347.988605,344.5792056,344.4820051,350.6781654,46.07814607
5-Nov,330.683014,343.368988,330.683014,339.485992,19817200,0,339.485992,349.290009,0.01987907,342.415009,-0.008934453,345.488007,-0.050171934,363.264008,-0.010024907,366.924011,-0.002099037,47.72551053,345.852509,345.7310083,353.4762088,345.0192082,350.1692082,355.5837685,50.95588178
6-Nov,339.458008,352.966003,338.424011,349.290009,18797000,1,349.290009,342.415009,-0.008934453,345.488007,-0.050171934,363.264008,-0.010024907,366.924011,-0.002099037,367.695007,-0.141443744,47.75803189,343.951508,350.389008,357.1572084,351.9838078,355.3299421,367.1921279,51.86685549
7-Nov,349.817993,352.731995,341.776001,342.415009,16834200,0,342.415009,345.488007,-0.050171934,363.264008,-0.010024907,366.924011,-0.002099037,367.695007,-0.141443744,423.561005,0.006694407,48.01357629,354.3760075,358.5586753,373.3864076,361.172809,361.8664083,379.846244,46.38476991
8-Nov,342.153992,347.032013,342.153992,345.488007,8535470,0,345.488007,363.264008,-0.010024907,366.924011,-0.002099037,367.695007,-0.141443744,423.561005,0.006694407,420.734985,0.056008549,48.82874138,365.0940095,365.9610087,388.4358032,366.5004088,381.5008077,388.9300818,45.62636963
9-Nov,345.376007,363.626007,344.255005,363.264008,24205600,0,363.264008,366.924011,-0.002099037,367.695007,-0.141443744,423.561005,0.006694407,420.734985,0.056008549,397.817993,0.056051803,47.36914526,367.309509,386.0600077,395.3466002,389.887207,396.5824014,391.13552,46.58102057
10-Nov,362.265015,374.81601,357.561005,366.924011,30450100,0,366.924011,367.695007,-0.141443744,423.561005,0.006694407,420.734985,0.056008549,397.817993,0.056051803,376.132996,-0.030758348,47.99025594,395.628006,403.996999,397.1883972,411.2573974,404.7693969,394.5196363,46.42568851
