date,open,high,low,close,volume,y,x0,x1,r1,x2,r2,x3,r3,x4,r4,x5,r5,14-day RSI,MA-2,MA-3,MA-5,EMA-2,EMA-3,EMA-5,14-day MFI
9-Nov,308.64,329.45,307.06,320.88,893249984,1,320.88,299.25,-0.0503,314.68,0.0218,307.91,-0.0282,316.72,-0.0639,337.63,0.0127,9.2,306.97,307.28,315.24,308.89,310.33,317.5,16.78
10-Nov,320.67,324.72,294.54,299.25,885985984,0,299.25,314.68,0.0218,307.91,-0.0282,316.72,-0.0639,337.63,0.0127,333.36,0.0073,13.64,311.29,313.1,322.06,312.79,319.54,323.18,14.45
11-Nov,298.59,319.45,298.19,314.68,842300992,1,314.68,307.91,-0.0282,316.72,-0.0639,337.63,0.0127,333.36,0.0073,330.92,-0.0044,10.48,312.31,320.75,325.31,323.32,324.97,325.75,20.33
12-Nov,314.69,319.15,298.51,307.91,1613479936,0,307.91,316.72,-0.0639,337.63,0.0127,333.36,0.0073,330.92,-0.0044,332.39,-0.0448,10.47,327.17,329.23,330.2,331.74,330.52,332.45,20.13
13-Nov,307.02,328.42,307.02,316.72,1041889984,0,316.72,337.63,0.0127,333.36,0.0073,330.92,-0.0044,332.39,-0.0448,347.61,-0.0193,15.05,335.49,333.97,336.38,333.24,333.31,339.31,29.66
14-Nov,316.76,340.18,316.76,337.63,1069680000,1,337.63,333.36,0.0073,330.92,-0.0044,332.39,-0.0448,347.61,-0.0193,354.39,-0.0342,29.93,332.14,332.23,339.73,332,336.25,343.8,38.04
15-Nov,337.96,340.91,329.81,333.36,722665984,1,333.36,330.92,-0.0044,332.39,-0.0448,347.61,-0.0193,354.39,-0.0342,366.73,0.0174,26.93,331.66,336.98,346.41,338.19,342.02,348.03,46.07
16-Nov,333.44,336.16,323.61,330.92,797254016,0,330.92,332.39,-0.0448,347.61,-0.0193,354.39,-0.0342,366.73,0.0174,360.4,-0.0547,25.13,340,344.8,352.3,347.28,351.47,356.04,42.85
17-Nov,330.17,334.96,327.52,332.39,621732992,0,332.39,347.61,-0.0193,354.39,-0.0342,366.73,0.0174,360.4,-0.0547,380.65,-0.0747,27.52,351,356.24,361.96,357.97,357.93,369.1,41.03
18-Nov,331.98,349.62,327.69,347.61,649638976,0,347.61,354.39,-0.0342,366.73,0.0174,360.4,-0.0547,380.65,-0.0747,410.17,-0.1466,27.99,360.56,360.51,374.47,361.73,366.29,389.73,40.01
19-Nov,347.4,371.29,344.74,354.39,1181529984,0,354.39,366.73,0.0174,360.4,-0.0547,380.65,-0.0747,410.17,-0.1466,474.91,0.0183,28.9,363.57,369.26,398.57,369.77,380.34,408.13,45.09
20-Nov,354.09,372.14,353.29,366.73,807027008,1,366.73,360.4,-0.0547,380.65,-0.0747,410.17,-0.1466,474.91,0.0183,466.28,-0.0108,29.08,370.53,383.74,418.48,388.41,409.61,424.61,46.16
21-Nov,367.44,372.47,350.69,360.4,949912000,0,360.4,380.65,-0.0747,410.17,-0.1466,474.91,0.0183,466.28,-0.0108,471.33,-0.019,40.79,395.41,421.91,440.67,430.16,436.49,444.62,51.2
22-Nov,360.31,381.42,360.15,380.65,800819008,0,380.65,410.17,-0.1466,474.91,0.0183,466.28,-0.0108,471.33,-0.019,480.36,0.0156,44.88,442.54,450.45,460.61,458.51,458.7,460.56,57.14
23-Nov,381.44,425.55,376.09,410.17,1845680000,0,410.17,474.91,0.0183,466.28,-0.0108,471.33,-0.019,480.36,0.0156,472.9,0.1009,54.88,470.59,470.84,473.15,470.02,473.11,465.92,56.16
24-Nov,412.5,480.97,402.76,474.91,2292829952,1,474.91,466.28,-0.0108,471.33,-0.019,480.36,0.0156,472.9,0.1009,427.52,-0.0448,48.21,468.8,472.65,463.68,473.93,473.15,461.13,56.11
25-Nov,475.68,485.19,461.05,466.28,1422080000,0,466.28,471.33,-0.019,480.36,0.0156,472.9,0.1009,427.52,-0.0448,447.11,-0.0425,56.46,475.84,474.86,459.84,475.57,462.47,461.38,57.35
26-Nov,465.97,472.72,451.61,471.33,1197779968,0,471.33,480.36,0.0156,472.9,0.1009,427.52,-0.0448,447.11,-0.0425,466.54,0.0066,44.07,476.63,460.26,458.89,456.24,455.41,460.48,56.95
27-Nov,471.53,493.4,468.48,480.36,1396480000,1,480.36,472.9,0.1009,427.52,-0.0448,447.11,-0.0425,466.54,0.0066,463.45,-0.0052,28.86,450.21,449.18,455.51,444.44,452.23,457.86,49.48
28-Nov,480.52,482.48,466.35,472.9,1346499968,1,472.9,427.52,-0.0448,447.11,-0.0425,466.54,0.0066,463.45,-0.0052,465.85,-0.0093,17.86,437.32,447.06,454.1,450.97,452.73,455.61,35.07
29-Nov,473.28,522.31,425.07,427.52,2675940096,0,427.52,447.11,-0.0425,466.54,0.0066,463.45,-0.0052,465.85,-0.0093,470.2,0.0148,20.08,456.83,459.03,462.63,461.42,461.65,462.12,22.41
30-Nov,431.21,465.5,401.24,447.11,1903040000,0,447.11,466.54,0.0066,463.45,-0.0052,465.85,-0.0093,470.2,0.0148,463.28,0.0778,23.26,464.99,465.28,465.87,465.03,466.51,459.93,36.03
1-Dec,445.21,472.61,428.31,466.54,1247879936,1,466.54,463.45,-0.0052,465.85,-0.0093,470.2,0.0148,463.28,0.0778,428.59,-0.0135,22.04,464.65,466.5,458.28,467.11,465.85,454.66,33.48
2-Dec,466.85,476.24,456.65,463.45,943649984,0,463.45,465.85,-0.0093,470.2,0.0148,463.28,0.0778,428.59,-0.0135,434.41,-0.0486,20.96,468.03,466.45,452.47,466.56,456.39,453.57,31.6
3-Dec,463.7,482.81,451.85,465.85,990556992,0,465.85,470.2,0.0148,463.28,0.0778,428.59,-0.0135,434.41,-0.0486,456.03,-0.0376,18.06,466.74,454.02,450.5,450.79,447.71,454.97,27.61
4-Dec,466.05,474.78,453.31,470.2,1005550016,1,470.2,463.28,0.0778,428.59,-0.0135,434.41,-0.0486,456.03,-0.0376,473.5,0.0695,15.9,445.93,442.09,451.16,437.85,444.4,450.14,22.99
5-Dec,470.29,473.56,457.66,463.28,1216720000,1,463.28,428.59,-0.0135,434.41,-0.0486,456.03,-0.0376,473.5,0.0695,441.72,-0.1538,11.43,431.5,439.68,446.85,441.89,449.44,457.05,31.74
6-Dec,462.6,462.71,420.21,428.59,1998259968,0,428.59,434.41,-0.0486,456.03,-0.0376,473.5,0.0695,441.72,-0.1538,515.14,-0.2347,11.51,445.22,454.65,464.16,458.69,452.55,492.93,25.84
7-Dec,426.37,441.4,414.41,434.41,2129570048,0,434.41,456.03,-0.0376,473.5,0.0695,441.72,-0.1538,515.14,-0.2347,651.43,-0.0759,32.55,464.77,457.08,507.56,457.3,472.64,536.74,34.14
8-Dec,434.99,466.06,422.37,456.03,2336379904,0,456.03,473.5,0.0695,441.72,-0.1538,515.14,-0.2347,651.43,-0.0759,702.77,0.0099,31.2,457.61,476.79,556.91,477.44,523.58,575.8,31.61
9-Dec,457.34,504.15,456.25,473.5,2003849984,1,473.5,441.72,-0.1538,515.14,-0.2347,651.43,-0.0759,702.77,0.0099,695.82,0.0165,30.51,478.43,536.1,601.37,554.97,586.83,608.28,33.35
10-Dec,472.79,472.79,429.51,441.72,1404179968,0,441.72,515.14,-0.2347,651.43,-0.0759,702.77,0.0099,695.82,0.0165,684.45,-0.017,30.59,583.28,623.11,649.92,644.71,649.7,651.93,32.43
11-Dec,440.36,516.97,439.1,515.14,1771440000,0,515.14,651.43,-0.0759,702.77,0.0099,695.82,0.0165,684.45,-0.017,696.21,-0.0336,38.17,677.1,683.34,686.13,689.72,685.76,690.16,31.49
12-Dec,522.29,657.32,504.49,651.43,5179829760,0,651.43,702.77,0.0099,695.82,0.0165,684.45,-0.017,696.21,-0.0336,719.97,-0.0987,43.7,699.29,694.34,699.84,692.66,694.28,715.13,38.01
13-Dec,644.91,747.99,597.8,702.77,4524539904,1,702.77,695.82,0.0165,684.45,-0.017,696.21,-0.0336,719.97,-0.0987,794.65,-0.0397,45.85,690.13,692.16,718.22,691.43,699.33,734.7,44.88
14-Dec,700.59,753.12,664.99,695.82,3821580032,1,695.82,684.45,-0.017,696.21,-0.0336,719.97,-0.0987,794.65,-0.0397,826.82,0.0094,43.1,690.33,700.21,744.42,703.36,726.44,753.97,37.46
15-Dec,696.38,697.13,621.06,684.45,2758710016,0,684.45,696.21,-0.0336,719.97,-0.0987,794.65,-0.0397,826.82,0.0094,819.09,-0.0024,48,708.09,736.94,771.35,745.09,763.63,776.3,43.75
16-Dec,686.19,718.39,680.79,696.21,2165690112,0,696.21,719.97,-0.0987,794.65,-0.0397,826.82,0.0094,819.09,-0.0024,821.06,0.1961,46.61,757.31,780.48,796.32,792.58,794.81,773.83,42.67
