date,open,high,low,close,volume,y,x0,x1,r1,x2,r2,x3,r3,x4,r4,x5,r5,14-day RSI,MA-2,MA-3,MA-5,EMA-2,EMA-3,EMA-5,14-day MFI
10-Apr,0.832005,1.313487,0.694187,0.951054,87364276,1,0.951054,0.776819,-0.127559345,0.882507,0.126256158,0.777832,0.161358306,0.661925,0.02334552,0.646651,-0.066066771,58.22738624,0.829663,0.812386,0.7491468,0.8194994,0.7746342,0.74092076,61.05352267
11-Apr,0.951054,1.049073,0.76502,0.776819,43862444,0,0.776819,0.882507,0.126256158,0.777832,0.161358306,0.661925,0.02334552,0.646651,-0.066066771,0.690816,0.04453125,67.31180324,0.8301695,0.774088,0.7319462,0.7524042,0.732876867,0.72657372,75.05763106
12-Apr,0.785448,0.95667,0.762426,0.882507,38736897,1,0.882507,0.777832,0.161358306,0.661925,0.02334552,0.646651,-0.066066771,0.690816,0.04453125,0.660728,-0.030361008,65.29066098,0.7198785,0.695469333,0.6875904,0.6789968,0.6887376,0.69016096,69.02412728
13-Apr,0.89076,0.891603,0.773976,0.777832,18211285,1,0.777832,0.661925,0.02334552,0.646651,-0.066066771,0.690816,0.04453125,0.660728,-0.030361008,0.681096,0.115225546,50.04900273,0.654288,0.666464,0.6682432,0.6673718,0.665237,0.6581866,61.80695344
14-Apr,0.777832,0.796472,0.628169,0.661925,16747614,1,0.661925,0.646651,-0.066066771,0.690816,0.04453125,0.660728,-0.030361008,0.681096,0.115225546,0.606969,0.119111003,43.05530467,0.6687335,0.666065,0.657252,0.6699478,0.671367533,0.63787756,54.33687661
15-Apr,0.669289,0.704964,0.621531,0.646651,13075275,0,0.646651,0.690816,0.04453125,0.660728,-0.030361008,0.681096,0.115225546,0.606969,0.119111003,0.538812,-0.086780132,49.98420178,0.675772,0.677546667,0.6356842,0.6748928,0.657841333,0.63020544,55.57421014
16-Apr,0.630879,0.774192,0.625107,0.690816,21346031,1,0.690816,0.660728,-0.030361008,0.681096,0.115225546,0.606969,0.119111003,0.538812,-0.086780132,0.587659,-0.162862352,45.35338724,0.670912,0.649597667,0.6150528,0.6473716,0.6193128,0.62912752,49.755658
17-Apr,0.689312,0.719614,0.660728,0.660728,9870810,0,0.660728,0.681096,0.115225546,0.606969,0.119111003,0.538812,-0.086780132,0.587659,-0.162862352,0.691601,0.097334057,47.60129991,0.6440325,0.608959,0.6212274,0.5945316,0.598469867,0.62461888,52.01851393
18-Apr,0.660728,0.717618,0.659427,0.681096,9782112,1,0.681096,0.606969,0.119111003,0.538812,-0.086780132,0.587659,-0.162862352,0.691601,0.097334057,0.627457,-0.010755442,44.72009197,0.5728905,0.577813333,0.6104996,0.5719822,0.606213,0.61415716,49.41581988
19-Apr,0.681516,0.684641,0.598487,0.606969,9289670,1,0.606969,0.538812,-0.086780132,0.587659,-0.162862352,0.691601,0.097334057,0.627457,-0.010755442,0.634242,-0.014225672,39.80480987,0.5632355,0.606024,0.6159542,0.6194664,0.616220267,0.61724848,46.98870255
20-Apr,0.612948,0.639254,0.520578,0.538812,8342616,0,0.538812,0.587659,-0.162862352,0.691601,0.097334057,0.627457,-0.010755442,0.634242,-0.014225672,0.643329,0.012234725,45.54372216,0.63963,0.635572333,0.6368576,0.645155,0.6384118,0.6346734,51.76993446
21-Apr,0.541387,0.604586,0.508549,0.587659,9711507,0,0.587659,0.691601,0.097334057,0.627457,-0.010755442,0.634242,-0.014225672,0.643329,0.012234725,0.635506,0.104632402,56.59572435,0.659529,0.6511,0.646427,0.6429998,0.646327667,0.63638516,57.26753688
22-Apr,0.581166,0.706964,0.569621,0.691601,18828400,1,0.691601,0.627457,-0.010755442,0.634242,-0.014225672,0.643329,0.012234725,0.635506,0.104632402,0.572372,-0.14440788,51.54473314,0.6308495,0.635009333,0.6225812,0.6365198,0.635645267,0.62897012,49.3578802
23-Apr,0.685347,0.698077,0.600322,0.627457,13485271,0,0.627457,0.634242,-0.014225672,0.643329,0.012234725,0.635506,0.104632402,0.572372,-0.14440788,0.661293,-0.120314091,53.11962684,0.6387855,0.637692333,0.6293484,0.6383824,0.6205036,0.6481828,38.76375361
24-Apr,0.624021,0.67102,0.613941,0.634242,9064190,0,0.634242,0.643329,0.012234725,0.635506,0.104632402,0.572372,-0.14440788,0.661293,-0.120314091,0.74584,0.076306155,54.20630653,0.6394175,0.617069,0.651668,0.611817,0.6271114,0.65763476,45.5862895
25-Apr,0.630528,0.670948,0.621547,0.643329,7311905,1,0.643329,0.635506,0.104632402,0.572372,-0.14440788,0.661293,-0.120314091,0.74584,0.076306155,0.691045,-0.053186169,59.45199326,0.603939,0.623057,0.6612112,0.6205672,0.6549692,0.67099624,52.19751344
26-Apr,0.653215,0.691499,0.631171,0.635506,8320760,1,0.635506,0.572372,-0.14440788,0.661293,-0.120314091,0.74584,0.076306155,0.691045,-0.053186169,0.728794,0.017884146,55.95360486,0.6168325,0.659835,0.6798688,0.6773276,0.673988533,0.68133008,47.12279368
27-Apr,0.635714,0.660283,0.561028,0.572372,7406934,0,0.572372,0.661293,-0.120314091,0.74584,0.076306155,0.691045,-0.053186169,0.728794,0.017884146,0.715876,0.052098227,64.82393728,0.7035665,0.699392667,0.7085696,0.7070126,0.709773,0.702033,51.49865344
28-Apr,0.578253,0.692148,0.568484,0.661293,7470201,0,0.661293,0.74584,0.076306155,0.691045,-0.053186169,0.728794,0.017884146,0.715876,0.052098227,0.679535,0.017882834,78.61035263,0.7184425,0.721893,0.712218,0.7171036,0.718692,0.70640656,57.29368955
29-Apr,0.662286,0.777771,0.655274,0.74584,8801144,1,0.74584,0.691045,-0.053186169,0.728794,0.017884146,0.715876,0.052098227,0.679535,0.017882834,0.667491,0.03919153,69.98049916,0.7099195,0.711905,0.6965482,0.716077,0.704663667,0.68757428,68.18620382
30-Apr,0.747195,0.800816,0.687881,0.691045,5016892,0,0.691045,0.728794,0.017884146,0.715876,0.052098227,0.679535,0.017882834,0.667491,0.03919153,0.641837,0.030455818,80.54254658,0.722335,0.708068333,0.6867066,0.7039232,0.695866,0.67813048,64.95665022
1-May,0.691045,0.737071,0.685903,0.728794,4164272,1,0.728794,0.715876,0.052098227,0.679535,0.017882834,0.667491,0.03919153,0.641837,0.030455818,0.622584,0.015549513,69.2551009,0.6977055,0.687634,0.6654646,0.6819856,0.673538667,0.6590832,70.57963171
2-May,0.727268,0.748981,0.707904,0.715876,3441356,1,0.715876,0.679535,0.017882834,0.667491,0.03919153,0.641837,0.030455818,0.622584,0.015549513,0.612978,0.013229522,61.85315806,0.673513,0.662954333,0.644885,0.6596382,0.651083533,0.63987692,62.69556164
3-May,0.714796,0.729801,0.656616,0.679535,3328344,1,0.679535,0.667491,0.03919153,0.641837,0.030455818,0.622584,0.015549513,0.612978,0.013229522,0.604922,0.00065319,52.40329888,0.654664,0.643970667,0.6299624,0.6392666,0.634137933,0.62739388,53.19202418
4-May,0.679625,0.705812,0.618434,0.667491,3443698,1,0.667491,0.641837,0.030455818,0.622584,0.015549513,0.612978,0.013229522,0.604922,0.00065319,0.604527,0.118384927,52.79551251,0.6322105,0.625799667,0.6173696,0.6225922,0.619163133,0.6054946,52.86113954
5-May,0.67344,0.686214,0.626499,0.641837,2847469,1,0.641837,0.622584,0.015549513,0.612978,0.013229522,0.604922,0.00065319,0.604527,0.118384927,0.537034,0.04136455,56.44420307,0.617781,0.613494667,0.596409,0.6116768,0.610497333,0.58447424,52.03942203
6-May,0.642454,0.673891,0.622584,0.622584,2677563,1,0.622584,0.612978,0.013229522,0.604922,0.00065319,0.604527,0.118384927,0.537034,0.04136455,0.515273,-0.044231762,50.56887712,0.60895,0.607475667,0.5749468,0.6063752,0.5883244,0.57064872,51.21266963
7-May,0.622584,0.632268,0.573376,0.612978,3355830,1,0.612978,0.604922,0.00065319,0.604527,0.118384927,0.537034,0.04136455,0.515273,-0.044231762,0.538576,-0.021956464,45.5208424,0.6047245,0.582161,0.5600664,0.5776088,0.5628068,0.56033512,52.11985964
8-May,0.612978,0.636618,0.589852,0.604922,2488195,1,0.604922,0.604527,0.118384927,0.537034,0.04136455,0.515273,-0.044231762,0.538576,-0.021956464,0.550532,-0.033202711,48.94872175,0.5707805,0.552278,0.5491884,0.5418282,0.545140867,0.55459068,53.62547005
