date,open,high,low,close,volume,y,x0,x1,r1,x2,r2,x3,r3,x4,r4,x5,r5,14-day RSI,MA-2,MA-3,MA-5,EMA-2,EMA-3,EMA-5,14-day MFI
11/9/2017,0.21791,0.22179,0.21487,0.21749,147916992,1,0.2175,0.2065,-0.0189,0.2104,0.0642,0.1973,-0.0305,0.2034,-0.0309,0.2098,-0.0148,25.02,0.20846,0.20475,0.2055,0.2044,0.20429,0.20674,63.02
11/10/2017,0.21826,0.03335,0.02645,0.02712,141032992,0,0.2065,0.2104,0.0642,0.1973,-0.0305,0.2034,-0.0309,0.2098,-0.0148,0.213,-0.0643,23.83,0.20388,0.20374,0.2068,0.2024,0.20491,0.21019,57.7
11/11/2017,0.20595,0.02966,0.02568,0.02744,134503008,1,0.2104,0.1973,-0.0305,0.2034,-0.0309,0.2098,-0.0148,0.213,-0.0643,0.2271,0.0023,13.57,0.20039,0.20354,0.21013,0.20477,0.20646,0.21225,58.96
11/12/2017,0.21021,0.02795,0.02259,0.02398,251175008,0,0.1973,0.2034,-0.0309,0.2098,-0.0148,0.213,-0.0643,0.2271,0.0023,0.2266,-0.009,13.76,0.20663,0.20874,0.21598,0.2098,0.21399,0.2175,60.19
11/13/2017,0.19747,0.0263,0.0235,0.02581,132567000,0,0.2034,0.2098,-0.0148,0.213,-0.0643,0.2271,0.0023,0.2266,-0.009,0.2286,-0.0104,8.84,0.21139,0.21663,0.22102,0.21799,0.21974,0.22217,58.56
11/14/2017,0.20368,0.02679,0.02534,0.02623,127361000,0,0.2098,0.213,-0.0643,0.2271,0.0023,0.2266,-0.009,0.2286,-0.0104,0.231,-0.033,40.68,0.22003,0.22221,0.22526,0.22407,0.22454,0.22693,68.39
11/15/2017,0.20894,0.02777,0.02526,0.02645,100294000,0,0.213,0.2271,0.0023,0.2266,-0.009,0.2286,-0.0104,0.231,-0.033,0.2388,0.0233,42.34,0.22684,0.22744,0.23042,0.2275,0.22841,0.23074,73.55
11/16/2017,0.21266,0.02817,0.02565,0.02758,1022579968,1,0.2271,0.2266,-0.009,0.2286,-0.0104,0.231,-0.033,0.2388,0.0233,0.2333,-0.0237,40.87,0.2276,0.22874,0.23165,0.22917,0.23156,0.2326,61.87
11/17/2017,0.22477,0.02744,0.02518,0.02577,397071008,0,0.2266,0.2286,-0.0104,0.231,-0.033,0.2388,0.0233,0.2333,-0.0237,0.2389,-0.0147,41.48,0.22982,0.2328,0.23411,0.23364,0.2332,0.23521,55.05
11/18/2017,0.22655,0.02712,0.02475,0.02637,144298000,0,0.2286,0.231,-0.033,0.2388,0.0233,0.2333,-0.0237,0.2389,-0.0147,0.2424,-0.0092,43.19,0.23489,0.23435,0.23686,0.23502,0.23577,0.23787,58.47
