date,open,high,low,close,volume,y,x0,x1,r1,x2,r2,x3,r3,x4,r4,x5,r5,14-day RSI,MA-2,MA-3,MA-5,EMA-2,EMA-3,EMA-5,14-day MFI
7/21/2022,23260.98828,23368.91406,22707.50977,22918.39648,43137060864,-1,22918.39648,23231.73242,-0.006765244,23389.43359,0.039405282,22485.68945,0.078919678,20779.34375,-0.0195849,21190.31641,0.016846296,65.53799463,23310.58301,23035.61849,22215.30313,22996.3957,22420.87096,22035.3243,71.93545056
7/20/2022,23393.19141,24196.81836,23009.94922,23231.73242,42932549127,-1,23231.73242,23389.43359,0.039405282,22485.68945,0.078919678,20779.34375,-0.0195849,21190.31641,0.016846296,20836.32813,0.012868197,68.1045602,22937.56152,22218.1556,21736.22227,21983.9,21865.97995,21615.74234,70.38396478
7/19/2022,22467.84961,23666.96289,21683.40625,23389.43359,48765202697,1,23389.43359,22485.68945,0.078919678,20779.34375,-0.0195849,21190.31641,0.016846296,20836.32813,0.012868197,20569.91992,0.017549651,64.13776057,21632.5166,21485.11654,21172.31953,21285.00195,21245.40143,21071.21508,68.38346449
7/18/2022,20781.91211,22633.0332,20781.91211,22485.68945,39974475562,1,22485.68945,20779.34375,-0.0195849,21190.31641,0.016846296,20836.32813,0.012868197,20569.91992,0.017549651,20212.07422,0.04493676,60.29222101,20984.83008,20935.32943,20717.59648,20966.52656,20848.28594,20497.07719,66.64215727
7/17/2022,21195.04102,21600.64063,20778.17969,20779.34375,22927802083,-1,20779.34375,21190.31641,0.016846296,20836.32813,0.012868197,20569.91992,0.017549651,20212.07422,0.04493676,19323.91406,-0.032915621,64.2303062,21013.32227,20865.52148,20426.51055,20800.5625,20669.61589,20384.11016,71.98469419
7/16/2022,20834.10352,21514.4043,20518.89844,21190.31641,24302954056,1,21190.31641,20836.32813,0.012868197,20569.91992,0.017549651,20212.07422,0.04493676,19323.91406,-0.032915621,19970.55664,-0.043595963,62.02047491,20703.12402,20539.44076,20182.55859,20480.06328,20195.50781,20317.17188,66.95438478
7/15/2022,20573.15625,21138.24414,20397,20836.32813,25905575359,1,20836.32813,20569.91992,0.017549651,20212.07422,0.04493676,19323.91406,-0.032915621,19970.55664,-0.043595963,20860.44922,-0.03447748,55.80177791,20390.99707,20035.30273,20187.38281,19928.3793,19982.39596,20427.45617,67.23169264
7/14/2022,20211.4668,20789.89453,19689.25781,20569.91992,31158743333,1,20569.91992,20212.07422,0.04493676,19323.91406,-0.032915621,19970.55664,-0.043595963,20860.44922,-0.03447748,21592.20703,-0.006412741,50.80295929,19767.99414,19835.51497,20391.84023,19760.20313,20083.72682,20598.93391,60.11835647
7/13/2022,19325.97266,20223.05273,18999.95313,20212.07422,33042430345,1,20212.07422,19323.91406,-0.032915621,19970.55664,-0.043595963,20860.44922,-0.03447748,21592.20703,-0.006412741,21731.11719,0.004313223,42.0495045,19647.23535,20051.63997,20695.64883,20197.18516,20510.97292,20791.48969,52.92660173
7/12/2022,19970.47461,20043.44531,19308.53125,19323.91406,25810220018,-1,19323.91406,19970.55664,-0.043595963,20860.44922,-0.03447748,21592.20703,-0.006412741,21731.11719,0.004313223,21637.58789,0.051656393,43.43407655,20415.50293,20807.73763,21158.38359,20975.17383,21109.78425,21013.24852,53.38528376
7/11/2022,20856.35352,20856.35352,19924.53906,19970.55664,24150249025,-1,19970.55664,20860.44922,-0.03447748,21592.20703,-0.006412741,21731.11719,0.004313223,21637.58789,0.051656393,20548.24609,0.017582449,48.40395897,21226.32813,21394.59115,21273.92148,21501.41953,21494.99974,21083.97359,53.74171261
7/10/2022,21591.08008,21591.08008,20727.12305,20860.44922,28688807249,-1,20860.44922,21592.20703,-0.006412741,21731.11719,0.004313223,21637.58789,0.051656393,20548.24609,0.017582449,20190.11523,-0.002035878,50.90408945,21661.66211,21653.63737,21139.85469,21665.92344,21362.96172,21012.57391,55.37520744
7/9/2022,21716.82813,21877.13867,21445.95703,21592.20703,29641127858,-1,21592.20703,21731.11719,0.004313223,21637.58789,0.051656393,20548.24609,0.017582449,20190.11523,-0.002035878,20231.26172,0.047275427,54.89483505,21684.35254,21305.65039,20867.66563,21220.55703,20979.8099,20650.90938,62.93726986
7/8/2022,21637.1543,22314.94141,21257.45313,21731.11719,49899834488,1,21731.11719,21637.58789,0.051656393,20548.24609,0.017582449,20190.11523,-0.002035878,20231.26172,0.047275427,19297.07617,0.002844904,55.35208535,21092.91699,20791.98307,20380.85742,20622.86211,20586.08372,20248.95039,59.73097778
7/7/2022,20547.81445,21771.81641,20296.10352,21637.58789,25814972520,1,21637.58789,20548.24609,0.017582449,20190.11523,-0.002035878,20231.26172,0.047275427,19297.07617,0.002844904,19242.25586,-0.001407956,55.43427815,20369.18066,20323.20768,19901.79102,20278.2,20034.57005,19826.46141,59.6968335
7/6/2022,20194.61914,20595.5293,19823.51172,20548.24609,24598943708,1,20548.24609,20190.11523,-0.002035878,20231.26172,0.047275427,19297.07617,0.002844904,19242.25586,-0.001407956,19269.36719,-0.026393612,45.29325428,20210.68848,19906.15104,19646.01523,19849.3582,19710.18138,19689.97305,51.32024885
7/5/2022,20225.35352,20635.4668,19341.23242,20190.11523,26715546990,-1,20190.11523,20231.26172,0.047275427,19297.07617,0.002844904,19242.25586,-0.001407956,19269.36719,-0.026393612,19784.72656,-0.016009712,46.71125451,19764.16895,19590.19792,19564.9375,19461.98516,19461.90547,19677.84422,51.83798128
7/4/2022,19297.31445,20258.74805,19063.06641,20231.26172,21594638208,1,20231.26172,19297.07617,0.002844904,19242.25586,-0.001407956,19269.36719,-0.026393612,19784.72656,-0.016009712,20104.02344,-0.008746512,36.66772247,19269.66602,19269.56641,19539.48984,19264.06445,19405.10846,19648.37648,53.25609516
7/3/2022,19242.0957,19558.26953,18966.95117,19297.07617,16390821947,1,19297.07617,19242.25586,-0.001407956,19269.36719,-0.026393612,19784.72656,-0.016009712,20104.02344,-0.008746512,20280.63477,-0.022179693,51.81376291,19255.81152,19432.11654,19736.20156,19470.08867,19623.94909,19876.32805,55.74747804
7/2/2022,19274.83594,19371.74805,19027.08203,19242.25586,18100418740,-1,19242.25586,19269.36719,-0.026393612,19784.72656,-0.016009712,20104.02344,-0.008746512,20280.63477,-0.022179693,20735.47852,-0.013975181,42.11069937,19527.04688,19719.3724,20034.84609,19809.37344,19899.04271,20163.01875,52.41076507
7/1/2022,19820.4707,20632.67188,19073.70898,19269.36719,30767551159,-1,19269.36719,19784.72656,-0.016009712,20104.02344,-0.008746512,20280.63477,-0.022179693,20735.47852,-0.013975181,21027.29492,-0.022340316,45.85072803,19944.375,20056.46159,20386.43164,20110.80859,20255.64844,20540.90844,44.74322493
6/30/2022,20108.3125,20141.16016,18729.65625,19784.72656,26267239923,-1,19784.72656,20104.02344,-0.008746512,20280.63477,-0.022179693,20735.47852,-0.013975181,21027.29492,-0.022340316,21502.33789,0.012668381,36.3827122,20192.3291,20373.37891,20729.95391,20427.25,20565.71354,20785.18906,43.8950351
6/29/2022,20281.16992,20364.15625,19937.79102,20104.02344,23552740328,-1,20104.02344,20280.63477,-0.022179693,20735.47852,-0.013975181,21027.29492,-0.022340316,21502.33789,0.012668381,21231.65625,0.00688981,39.59333302,20508.05664,20681.13607,20955.48047,20761.23633,20926.82331,20949.35008,40.14461461
6/28/2022,20731.54492,21164.42383,20228.8125,20280.63477,21381535161,-1,20280.63477,20735.47852,-0.013975181,21027.29492,-0.022340316,21502.33789,0.012668381,21231.65625,0.00688981,21085.87695,0.05351995,40.35312515,20881.38672,21088.37044,21116.52891,21158.94883,21150.10612,20920.56695,37.14317757
6/27/2022,21028.23828,21478.08984,20620.19922,20735.47852,20965695707,-1,20735.47852,21027.29492,-0.022340316,21502.33789,0.012668381,21231.65625,0.00688981,21085.87695,0.05351995,19987.0293,-0.035562005,28.04840726,21264.81641,21253.76302,20966.83906,21299.05664,21224.09128,20928.25867,32.8821816
6/26/2022,21496.49414,21783.72461,21016.26953,21027.29492,18027170497,-1,21027.29492,21502.33789,0.012668381,21231.65625,0.00688981,21085.87695,0.05351995,19987.0293,-0.035562005,20710.59766,0.005376928,25.82790675,21366.99707,21273.29036,20903.49961,21227.48086,20915.01758,20878.81914,31.21785003
6/25/2022,21233.60938,21520.91406,20964.58594,21502.33789,18372538715,1,21502.33789,21231.65625,0.00688981,21085.87695,0.05351995,19987.0293,-0.035562005,20710.59766,0.005376928,20599.53711,0.002248481,23.18085004,21158.7666,20768.1875,20722.93945,20675.49375,20721.93229,20716.14125,26.66138807
6/24/2022,21084.64844,21472.91797,20777.51172,21231.65625,24957784918,1,21231.65625,21085.87695,0.05351995,19987.0293,-0.035562005,20710.59766,0.005376928,20599.53711,0.002248481,20553.27148,0.07765302,20.92378256,20536.45313,20594.5013,20587.2625,20496.22617,20563.08581,20356.06789,21.30998264
6/23/2022,19986.60742,21135.76172,19950.11719,21085.87695,26188097173,1,21085.87695,19987.0293,-0.035562005,20710.59766,0.005376928,20599.53711,0.002248481,20553.27148,0.07765302,19017.64258,-0.073665711,14.79404372,20348.81348,20432.38802,20173.61562,20521.45977,20494.31419,20213.81086,16.47772099
6/22/2022,20719.41406,20835.75,19848.07813,19987.0293,28574793478,-1,19987.0293,20710.59766,0.005376928,20599.53711,0.002248481,20553.27148,0.07765302,19017.64258,-0.073665711,20471.48242,0.004397811,14.57572913,20655.06738,20621.13542,20270.50625,20603.24297,20187.57318,20305.89297,16.0088154
6/21/2022,20594.29492,21620.62891,20415.0625,20710.59766,28970212744,1,20710.59766,20599.53711,0.002248481,20553.27148,0.07765302,19017.64258,-0.073665711,20471.48242,0.004397811,20381.65039,-0.102112401,13.72544712,20576.4043,20056.81706,20204.7168,19948.27305,20131.21315,20599.4093,10.43442826
6/20/2022,20553.37109,20913.32227,19689.16992,20599.53711,30818458597,1,20599.53711,20553.27148,0.07765302,19017.64258,-0.073665711,20471.48242,0.004397811,20381.65039,-0.102112401,22572.83984,0.016349175,21.24586275,19785.45703,20014.13216,20599.37734,19906.3043,20076.1944,20854.71961,12.90780267
6/19/2022,19010.90234,20683.82227,18067.15234,20553.27148,35329942625,1,20553.27148,19017.64258,-0.073665711,20471.48242,0.004397811,20381.65039,-0.102112401,22572.83984,0.016349175,22206.79297,-0.012556417,13.46820245,19744.5625,19956.92513,20930.08164,20144.78164,20717.12122,21102.7532,11.67344187
6/18/2022,20473.42578,20736.04102,17708.62305,19017.64258,42009436760,-1,19017.64258,20471.48242,0.004397811,20381.65039,-0.102112401,22572.83984,0.016349175,22206.79297,-0.012556417,22487.38867,-0.174052552,15.74626529,20426.56641,21141.99089,21624.03086,21276.09258,21470.63867,22400.10773,11.96196095
